Player_Sleeper,KTC_Value
Tahj Washington,1216
Darnell Washington,1210
Tyler Higbee,1191
Kenneth Gainwell,1187
Treylon Burks,1187
Riley Leonard,1183
Zach Wilson,1180
Alexander Mattison,1175
Daniel Bellinger,1151
Will Dissly,1150
Mike Williams,1137
Kendrick Bourne,1131
Bub Means,1131
Phil Mafah,1129
Ray-Ray McCloud,1128
Taysom Hill,1121
Colby Parkinson,1111
Donovan Edwards,1106
Noah Brown,1103
Aidan O'Connell,1101
A.J. Dillon,1098
Israel Abanikanda,1092
Raheim Sanders,1086
Jared Wiley,1079
Nick Nash,1078
Drew Lock,1077
Elijah Higgins,1069
Chris Rodriguez,1061
Jake Bobo,1060
Arian Smith,1046
Greg Dulcich,1045
Tommy Tremble,1036
Brevin Jordan,1034
Hendon Hooker,1031
Brenden Rice,1024
Zamir White,1020
Tyler Goodson,1013
Kyle McCord,1010
Grant Calcaterra,1006
Sincere McCormick,998
Ty Chandler,994
Gabriel Davis,989
Gardner Minshew,986
Raheem Mostert,981
Xavier Gipson,976
KeAndre Lambert-Smith,970
Rasheen Ali,956
Brandin Cooks,947
KaVontae Turpin,944
Tyquan Thornton,942
Jamari Thrash,932
Bo Melton,930
Deuce Vaughn,930
Kendall Milton,930
Johnny Wilson,928
Frank Gore,925
Isaiah Hodgins,918
Carson Steele,912
JuJu Smith-Schuster,908
Olamide Zaccheaus,907
Mason Tipton,907
Emari Demercado,903
Allen Lazard,895
Demarcus Robinson,895
Sione Vaki,895
Jase McClellan,894
A.T. Perry,888
K.J. Osborn,873
Marquez Valdes-Scantling,870
Chris Brooks,866
Davis Allen,865
Cam Akers,862
Isaiah Bond,862
KJ Hamler,861
David Bell,861
Ainias Smith,857
Van Jefferson,852
Jeremy Ruckert,848
Michael Carter,847
Tyler Johnson,845
Jaheim Bell,842
Tim Patrick,841
Mecole Hardman,838
Mack Hollins,808
Tyler Badie,808
Jake Browning,800
Samaje Perine,800
Trey Lance,790
Dylan Laube,783
Luke Lachey,772
Irv Smith,768
Zay Jones,762
Derius Davis,760
Trayveon Williams,759
Jelani Woods,758
Clyde Edwards-Helaire,754
Trey Sermon,751
Terrace Marshall,746
Kenny McIntosh,743
Eric Gray,732
Tyler Scott,732
Stone Smartt,722
Foster Moreau,716
Tylan Wallace,713
Brock Wright,703
Donovan Peoples-Jones,694
Skyy Moore,688
Dorian Thompson-Robinson,678
Rakim Jarrett,669
DJ Chark,630
Josh Reynolds,625
Tyler Huntley,619
Pierre Strong,610
Hassan Haskins,588
Josh Whyle,579
Jacoby Brissett,550
Tyson Bagent,529
Ryan Flournoy,497
Adam Trautman,493
Justyn Ross,491
Justin Watson,486
Julius Chestnut,485
Jake Haener,484
Malik Heath,484
Travis Homer,481
Austin Hooper,476
Jalen Reagor,473
Blake Watson,459
Harrison Bryant,456
Jarrett Stidham,441
Erik Ezukanma,440
Marcus Mariota,423
Lucas Krull,418
Joshua Dobbs,417
Desmond Ridder,415
Devin Duvernay,413
Charlie Kolar,412
Justin Shorter,411
Josh Oliver,409
Kylen Granson,407
Hayden Hurst,404
Tyrod Taylor,401
Charlie Jones,401
DeeJay Dallas,398
Tip Reiman,395
David Moore,394
2025 Pick 1.01,8046
2025 Pick 1.02,6493
2025 Pick 1.03,6155
2025 Pick 1.04,5940
2025 Pick 1.05,5697
2025 Pick 1.06,5492
2025 Pick 1.07,5327
2025 Pick 1.08,5016
2025 Pick 1.09,4902
2025 Pick 1.10,4735
2025 Pick 1.11,4533
2025 Pick 1.12,4411
2025 Pick 2.01,4167
2025 Pick 2.02,3970
2025 Pick 2.03,3876
2025 Pick 2.04,3649
2025 Pick 2.05,3488
2025 Pick 2.06,3431
2025 Pick 2.07,3279
2025 Pick 2.08,3233
2025 Pick 2.09,3204
2025 Pick 2.10,3133
2025 Pick 2.11,3071
2025 Pick 2.12,2853
